type,cat_no,title_id,artist,title,label,distributor,release_date,subgenre,NRA,average_sales,exclusive,sales_from_previous_release,downloads,featured,review_status,approved,block_coming_soon,releases_3_months,releases_12_months,sales_3_months,sales_12_months,ranklabel,pre_order,pre_order_count,label_email_alerts,artist_email_alerts,,,
Single,CRIT 234,6657300,Waeys,Stopping Turning / Blink & Miss,Critical Music,IIP-DDS,19/07/2024 00:00,Drum & Bass,0,29.61,N,37.31,0,N,None,Y,Y,11,42,2412.16,9589.53,1,N,0,1756,57,,,
Single,GRIDUK 251,6683002,Nooch,Ain't Nothing EP,Grid Recordings UK,Cygnus Music Ltd.,19/07/2024 00:00,Drum & Bass,0,203.37,N,96.51,0,Y,None,Y,N,9,40,1471.69,8746.89,2,Y,0,292,20,,,
Single,ARMAS 2843,6686554,Brando,Last Kiss,Armada Music Holland,Armada Distribution BV,19/07/2024 00:00,Euro/pop dance,0,35.1,N,0,0,N,None,Y,Y,158,515,4151.64,17940.98,3,N,0,595,9,,,
Single,ARMAS 2869,6686555,Nick Schilder,Up All Night,Armada Music Holland,Armada Distribution BV,19/07/2024 00:00,Euro/pop dance,0,35.1,N,0,0,N,None,Y,Y,158,515,4151.64,17940.98,3,N,0,595,0,,,
Single,ARMAS 2825,6682374,Scorz/Sirolf feat Diandra Faye,Missing Piece,Armada Music Holland,Armada Distribution BV,19/07/2024 00:00,Minimal/tech house,0,35.1,N,0,0,N,None,Y,Y,158,515,4151.64,17940.98,3,N,0,595,5,,,
Single,DNZF 1720,6696202,Shabz,Survive,DNZ,LabelWORX,16/07/2024 00:00,Scouse/bouncy house,0,25.13,N,0,0,N,None,Y,N,64,215,1755.04,6529.74,3,Y,0,487,1,,,
Single,ARMAS 2845,6686392,York feat Chris Howard,We All Return To Dust,Armada Music Holland,Armada Distribution BV,19/07/2024 00:00,Progressive house,0,35.1,N,0,0,N,None,Y,Y,158,515,4151.64,17940.98,3,N,0,595,0,,,
Single,ARMAS 2842,6682371,Nico de Andrea/Vanetty/Afro Medusa,Ethnica (Pasilda),Armada Music Holland,Armada Distribution BV,19/07/2024 00:00,Deep house,1,35.1,N,0,0,N,None,Y,Y,158,515,4151.64,17940.98,3,Y,0,595,5,,,
Single,ARMAS 2828,6682378,le Shuuk,Tamara,Armada Music Holland,Armada Distribution BV,19/07/2024 00:00,Techno,0,35.1,N,0,0,N,None,Y,Y,158,515,4151.64,17940.98,3,N,0,595,1,,,
Album,AMAM 357,6679596,Deep Dish,George Is On,Armada Music Holland,Armada Distribution BV,19/07/2024 00:00,Funky/vocal/disco/club house,0,35.1,N,0,0,N,None,Y,Y,158,515,4151.64,17940.98,3,N,0,595,27,,,
Single,AMAM 360,6691515,Greg Downey,Once Again,Armada Music Holland,Armada Distribution BV,19/07/2024 00:00,Uplifting/progressive trance,0,35.1,N,0,0,N,None,Y,Y,158,515,4151.64,17940.98,3,N,0,595,13,,,
Single,DNZF 1721,6696204,Rik Shaw,You Are Gold,DNZ,LabelWORX,17/07/2024 00:00,Scouse/bouncy house,0,25.13,N,0,0,N,None,Y,N,64,215,1755.04,6529.74,3,Y,0,487,31,,,
Single,ARMAS 2829,6691114,Silva City,Struck Piano,Armada Music Holland,Armada Distribution BV,19/07/2024 00:00,Uplifting/progressive trance,0,35.1,N,0,0,N,None,Y,Y,158,515,4151.64,17940.98,3,Y,0,595,0,,,
Single,AMAM 358,6681648,Deep Dish,Flashdance,Armada Music Holland,Armada Distribution BV,19/07/2024 00:00,Funky/vocal/disco/club house,0,35.1,N,0,0,N,None,Y,Y,158,515,4151.64,17940.98,3,N,0,595,27,,,
Single,ARMAS 2832,6691117,KIMMIC/MIMI,Tokyo,Armada Music Holland,Armada Distribution BV,19/07/2024 00:00,Euro/pop dance,0,35.1,N,0,0,N,None,Y,Y,158,515,4151.64,17940.98,3,Y,0,595,0,,,
