,price,grade,sqft_living,lat,sqft_living15,sqft_above,bathrooms,floors,bedrooms,sqft_basement,view
4771,529000.0,7,1590,47.5355,1780,1590,1.0,1.0,3,0,0
1398,728000.0,8,1940,47.6205,1940,1310,1.5,1.5,3,630,0
12058,307000.0,6,1150,47.7431,990,1150,1.0,1.5,4,0,0
1650,705000.0,8,2300,47.7196,2300,2300,2.5,1.0,2,0,0
7726,425000.0,7,2110,47.5294,1580,1870,2.75,2.0,5,240,0
1606,710000.0,9,2940,47.5529,2410,2940,2.75,2.0,4,0,0
4341,546000.0,7,2000,47.6859,1750,1110,1.75,1.0,3,890,0
4121,552500.0,7,2040,47.6592,1360,1410,1.75,1.0,3,630,0
4604,535000.0,7,2340,47.5117,1310,2340,2.5,2.0,4,0,0
10249,351999.0,8,2370,47.3706,2370,2370,2.5,2.0,3,0,0
12933,285000.0,6,910,47.7399,1240,910,1.0,1.0,2,0,0
9511,374950.0,8,2090,47.3595,2160,2090,2.5,2.0,4,0,0
4329,547000.0,7,1480,47.7078,1710,1480,2.5,1.0,3,0,0
2439,649950.0,9,2420,47.7329,1180,2420,2.5,2.0,3,0,0
14072,255000.0,7,1340,47.4182,1370,1340,1.75,1.0,3,0,0
750,800000.0,9,3150,47.5979,3200,3150,2.75,2.0,4,0,0
12439,299000.0,8,1572,47.2615,1608,1572,2.5,2.0,3,0,0
4012,559000.0,8,1930,47.7191,1640,1930,2.0,1.0,2,0,0
14816,234000.0,7,1630,47.317,1670,1050,2.0,1.0,4,580,0
15992,178000.0,7,1100,47.3632,1770,1100,1.0,1.0,3,0,0
12114,305000.0,8,1630,47.3801,1830,1100,2.25,1.0,3,530,0
9279,380000.0,8,2270,47.7089,2020,1540,2.5,1.0,4,730,0
10043,358000.0,8,1410,47.7183,1500,1360,3.25,3.0,3,50,0
11117,330000.0,7,1030,47.5281,1030,1030,1.0,1.0,3,0,0
2856,620000.0,7,1710,47.6732,1790,1710,1.0,1.5,3,0,0
12217,303000.0,7,2056,47.338,2056,2056,2.5,2.0,3,0,0
927,778000.0,9,2630,47.5481,2660,2630,3.0,1.0,3,0,0
10689,341000.0,9,1480,47.5443,1380,1180,2.5,2.0,3,300,0
16248,146000.0,6,900,47.3038,900,900,1.0,1.0,3,0,0
9877,361000.0,7,2470,47.5072,1660,1550,2.25,1.0,3,920,2
13476,270000.0,6,1430,47.4759,1560,1430,1.5,1.0,3,0,0
7889,420000.0,7,1770,47.7135,1900,1130,1.75,1.0,3,640,0
13194,277140.0,8,1190,47.6781,2820,920,1.5,2.0,3,270,0
14140,252000.0,7,1150,47.4752,1220,1150,1.5,1.0,3,0,0
5804,487000.0,9,2540,47.5423,2360,2540,2.5,2.0,4,0,0
13300,275000.0,8,1180,47.3531,1580,1180,1.75,1.0,3,0,0
15213,219950.0,7,1500,47.3146,1540,1150,2.25,1.0,3,350,0
4993,520000.0,8,2680,47.726,1530,2040,3.5,2.0,4,640,0
3090,605000.0,8,1550,47.6368,1800,1550,1.0,1.5,2,0,0
3576,579000.0,8,2030,47.7214,1950,2030,2.25,2.0,4,0,0
9871,361500.0,7,1980,47.3528,1850,1980,2.5,2.0,4,0,0
8358,405000.0,7,2470,47.3996,2600,1570,1.75,1.0,3,900,1
3434,585000.0,8,1740,47.4919,2110,1150,1.75,1.0,3,590,3
5880,485000.0,8,1680,47.6194,1970,1680,2.5,2.0,3,0,0
14584,240000.0,7,1420,47.3748,1430,980,1.75,1.0,3,440,0
9452,375000.0,7,2050,47.436,1840,1520,1.5,1.0,5,530,0
4461,540000.0,9,2290,47.7385,2570,2290,2.5,2.0,4,0,0
9314,379500.0,7,1110,47.6968,1510,1110,1.0,1.0,3,0,0
6987,445000.0,7,1490,47.6208,2090,1210,1.75,1.0,3,280,0
12791,288400.0,7,1860,47.4046,1860,1220,2.5,1.0,4,640,0
16321,121800.0,5,940,47.5065,1290,940,1.0,1.0,2,0,0
5933,480000.0,7,2040,47.6544,1800,1240,2.5,1.0,5,800,0
3944,560000.0,8,1790,47.5344,1790,1240,2.5,1.0,4,550,2
13853,260000.0,8,1680,47.3107,2020,1240,1.75,1.0,3,440,0
1121,755000.0,8,1360,47.6423,1920,1360,2.5,2.0,2,0,0
6385,465000.0,8,1510,47.6683,1540,1230,3.25,2.0,3,280,2
12056,307000.0,7,1370,47.6499,1160,1370,1.0,1.0,3,0,0
9344,378000.0,8,1650,47.7108,1650,1650,2.5,3.0,3,0,0
6660,455000.0,7,2950,47.5002,2360,2950,2.5,2.0,4,0,0
10553,345000.0,7,1940,47.4911,1950,1240,2.75,1.0,5,700,0
14588,240000.0,8,1720,47.3192,2010,1720,2.25,1.0,4,0,0
1520,717000.0,9,2480,47.684,2480,2480,2.5,2.0,3,0,0
4353,545000.0,7,1700,47.5643,1700,1450,1.75,1.5,3,250,2
3106,605000.0,7,1880,47.6835,1690,1080,1.5,1.0,4,800,0
7626,427000.0,7,1200,47.6075,1800,1200,1.0,1.0,3,0,0
5070,516000.0,7,1640,47.679,1510,910,1.75,1.0,2,730,0
14907,230000.0,7,940,47.5121,1250,940,1.0,1.0,3,0,0
4442,540000.0,7,1240,47.6689,1640,890,1.75,1.0,2,350,0
11354,325000.0,8,1330,47.555,1260,1080,2.25,2.0,3,250,0
5805,487000.0,8,1160,47.6754,1210,1020,1.5,2.0,2,140,0
3980,560000.0,8,2000,47.7061,1890,2000,1.5,1.0,3,0,0
12559,295000.0,7,1570,47.3902,1570,1570,2.5,2.0,3,0,0
4716,530000.0,10,2740,47.4954,1220,2740,2.75,2.0,4,0,0
10121,355000.0,7,1780,47.4239,2005,1780,2.5,2.0,4,0,0
2518,641000.0,8,3420,47.5162,2710,2700,3.5,2.0,5,720,2
7914,420000.0,8,2060,47.7575,2150,1460,2.5,1.0,3,600,0
8596,400000.0,7,1240,47.7157,1150,800,2.75,1.0,4,440,0
13845,260000.0,6,1120,47.4979,1270,1120,1.0,1.0,2,0,0
273,895000.0,8,1700,47.6336,2200,1260,1.75,1.0,2,440,1
5639,495000.0,7,1850,47.6106,1500,1850,1.75,2.5,2,0,0
4169,550000.0,8,1800,47.7776,1800,1400,2.75,1.0,4,400,0
4706,530000.0,8,2290,47.7727,2450,2290,3.0,2.0,4,0,0
11275,327000.0,7,1620,47.4763,1310,1620,1.0,1.5,4,0,0
2271,657500.0,9,2520,47.6377,2848,2520,2.25,2.0,4,0,0
4105,554000.0,8,2140,47.5368,2280,1960,2.5,2.0,3,180,0
10707,340000.0,7,2480,47.4387,3220,2480,2.5,2.0,3,0,0
1047,763000.0,6,1360,47.6879,2530,1360,2.0,1.0,3,0,2
14041,255000.0,7,1550,47.3433,1550,1050,1.75,1.0,3,500,0
2864,620000.0,7,2400,47.6763,1250,1460,2.25,1.5,4,940,0
5118,515000.0,8,1930,47.7173,1810,1930,1.75,1.0,2,0,0
5849,485000.0,8,1760,47.5764,1760,1760,2.5,2.0,3,0,0
257,899100.0,8,2410,47.5416,2440,1400,2.5,1.0,5,1010,0
11907,311000.0,7,1640,47.4941,1680,1640,1.0,1.0,3,0,0
6693,453000.0,7,2160,47.7277,2270,2160,1.0,1.5,3,0,0
11202,329950.0,6,1140,47.731,1450,1140,1.0,1.5,2,0,0
794,798000.0,9,3220,47.7076,3100,3220,2.75,2.0,5,0,0
1697,700000.0,8,2672,47.6955,1720,2020,2.5,2.0,4,652,0
13951,258000.0,8,2270,47.3077,2090,1330,1.75,1.0,3,940,0
6341,465000.0,7,1730,47.6031,1570,880,1.75,1.0,4,850,0
13433,270000.0,6,1480,47.7775,1480,760,1.0,1.0,3,720,0
12841,286308.0,7,1220,47.7348,1210,1220,1.5,3.0,2,0,0
2554,640000.0,9,2370,47.5345,2550,2370,2.5,2.0,3,0,0
6205,471000.0,7,840,47.6779,1550,840,1.0,1.0,2,0,0
11285,326995.0,7,1860,47.3848,1940,1860,2.5,2.0,3,0,0
5098,515000.0,8,2100,47.7242,2100,2100,2.5,2.0,3,0,0
8805,395000.0,9,2250,47.4398,2480,2250,2.5,2.0,4,0,0
3447,585000.0,7,1760,47.679,1680,920,1.75,1.0,4,840,0
7936,419900.0,8,2880,47.3455,2590,2260,3.5,2.0,5,620,0
2993,612125.0,7,1670,47.6517,1670,1090,1.5,1.0,2,580,0
2122,670000.0,9,2095,47.6603,2095,2095,2.5,2.0,4,0,0
3570,579500.0,7,1250,47.685,1250,980,1.75,1.0,3,270,0
4643,534640.0,8,2130,47.736,2030,1210,2.5,1.0,3,920,0
10220,352800.0,8,1800,47.5167,1650,1800,2.25,2.0,4,0,0
12407,299900.0,7,2720,47.3344,2760,2720,2.5,2.0,3,0,0
12067,306950.0,5,730,47.6992,1630,730,1.0,1.0,1,0,0
8443,402500.0,7,1290,47.5462,1160,1290,1.0,1.5,3,0,0
10154,355000.0,7,2390,47.4811,2560,2390,2.5,2.0,4,0,0
14046,255000.0,7,1760,47.3099,1800,1140,2.75,1.0,4,620,0
12308,300000.0,7,2620,47.3663,2250,2620,2.5,2.0,4,0,0
7749,425000.0,7,1950,47.5158,2190,1950,2.5,2.0,3,0,0
14341,248500.0,7,2090,47.3095,1700,2090,1.75,1.0,3,0,0
6758,450000.0,7,2900,47.5563,1340,2040,2.75,2.0,4,860,0
14711,236000.0,7,1300,47.5053,1320,1300,1.0,1.0,3,0,0
10615,344950.0,6,1470,47.7619,1660,1470,2.0,1.0,3,0,0
11936,310000.0,8,2370,47.2703,1870,2370,2.5,2.0,3,0,0
2742,626000.0,8,1810,47.6882,1760,1810,2.25,2.0,3,0,0
3418,585888.0,7,1490,47.6697,1700,1490,2.0,1.0,3,0,0
4514,539000.0,8,2590,47.6398,1930,1510,2.25,1.0,5,1080,0
14538,242000.0,7,1300,47.3448,1400,1300,1.75,1.0,3,0,0
14762,235000.0,7,810,47.5188,980,810,1.0,1.0,1,0,0
9707,367899.0,8,2420,47.371,2370,2420,2.5,2.0,3,0,0
